task,N,S,official,skipped,failures,E_fail,E_succ,R1,R0,audited,bound,open,runs
place_mouse_pad,20,20,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/place_mouse_pad
place_object_basket,20,18,90.0,8,2,1,1,-,-,-,95.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask5_20ep/place_object_basket
place_object_scale,20,19,95.0,7,1,0,0,-,-,95.0,95.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/place_object_scale
place_object_stand,20,20,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/place_object_stand
place_phone_stand,20,19,95.0,10,1,0,0,-,-,95.0,95.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/place_phone_stand
place_shoe,20,20,100.0,3,0,0,0,-,-,100.0,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/place_shoe
press_stapler,20,18,90.0,2,2,0,0,-,-,90.0,90.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/press_stapler
put_bottles_dustbin,10,9,90.0,4,1,0,0,-,-,90.0,90.0,-,4090-node1:/mnt/nvme0/shared/zhoujingjing/simuguard/runs/crosstask_20260921T160736Z/put_bottles_dustbin
put_object_cabinet,10,7,70.0,73,3,0,0,-,-,70.0,70.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask3_20260922T112052Z/put_object_cabinet
rotate_qrcode,20,19,95.0,2,1,0,0,-,-,95.0,95.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/rotate_qrcode
scan_object,20,20,100.0,44,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/scan_object
shake_bottle,20,20,100.0,16,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/shake_bottle
shake_bottle_horizontally,20,20,100.0,16,0,0,0,-,-,100.0,100.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/shake_bottle_horizontally
stack_blocks_three,20,19,95.0,2,1,0,0,-,-,95.0,95.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask7_all36/stack_blocks_three
stack_blocks_two,10,10,100.0,0,0,0,0,-,-,100.0,100.0,-,4090-node1:/mnt/nvme0/shared/zhoujingjing/simuguard/runs/crosstask_20260921T160736Z/stack_blocks_two
stack_bowls_three,50,38,76.0,43,12,12,0,-,-,-,100.0,0,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask4_50seeds/stack_bowls_three
stack_bowls_two,20,19,95.0,7,1,1,0,-,-,-,100.0,-,4090-node2:/mnt/nvme0/twinguar/simuguard/runs/crosstask6_remote20/stack_bowls_two
stamp_seal,20,19,95.0,9,1,1,0,-,-,-,100.0,1,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/stamp_seal
turn_switch,20,9,45.0,3,11,0,0,-,-,45.0,45.0,-,4090-node3:/home/zhoujingjing/simuguard/runs/crosstask7_all36/turn_switch
